Language	Voice type	Language code	Voice name	SSML Gender
Afrikaans (South Africa)	Standard	af-ZA	af-ZA-Standard-A	FEMALE
Arabic	Premium	ar-XA	ar-XA-Chirp3-HD-Aoede	FEMALE
Arabic	Premium	ar-XA	ar-XA-Chirp3-HD-Charon	MALE
Arabic	Premium	ar-XA	ar-XA-Chirp3-HD-Fenrir	MALE
Arabic	Premium	ar-XA	ar-XA-Chirp3-HD-Kore	FEMALE
Arabic	Premium	ar-XA	ar-XA-Chirp3-HD-Leda	FEMALE
Arabic	Premium	ar-XA	ar-XA-Chirp3-HD-Orus	MALE
Arabic	Premium	ar-XA	ar-XA-Chirp3-HD-Puck	MALE
Arabic	Premium	ar-XA	ar-XA-Chirp3-HD-Zephyr	FEMALE
Arabic	Standard	ar-XA	ar-XA-Standard-A	FEMALE
Arabic	Standard	ar-XA	ar-XA-Standard-B	MALE
Arabic	Standard	ar-XA	ar-XA-Standard-C	MALE
Arabic	Standard	ar-XA	ar-XA-Standard-D	FEMALE
Arabic	Premium	ar-XA	ar-XA-Wavenet-A	FEMALE
Arabic	Premium	ar-XA	ar-XA-Wavenet-B	MALE
Arabic	Premium	ar-XA	ar-XA-Wavenet-C	MALE
Arabic	Premium	ar-XA	ar-XA-Wavenet-D	FEMALE
Basque (Spain)	Standard	eu-ES	eu-ES-Standard-A	FEMALE
Basque (Spain)	Standard	eu-ES	eu-ES-Standard-B	FEMALE
Bengali (India)	Premium	bn-IN	bn-IN-Chirp3-HD-Aoede	FEMALE
Bengali (India)	Premium	bn-IN	bn-IN-Chirp3-HD-Charon	MALE
Bengali (India)	Premium	bn-IN	bn-IN-Chirp3-HD-Fenrir	MALE
Bengali (India)	Premium	bn-IN	bn-IN-Chirp3-HD-Kore	FEMALE
Bengali (India)	Premium	bn-IN	bn-IN-Chirp3-HD-Leda	FEMALE
Bengali (India)	Premium	bn-IN	bn-IN-Chirp3-HD-Orus	MALE
Bengali (India)	Premium	bn-IN	bn-IN-Chirp3-HD-Puck	MALE
Bengali (India)	Premium	bn-IN	bn-IN-Chirp3-HD-Zephyr	FEMALE
Bengali (India)	Standard	bn-IN	bn-IN-Standard-A	FEMALE
Bengali (India)	Standard	bn-IN	bn-IN-Standard-B	MALE
Bengali (India)	Standard	bn-IN	bn-IN-Standard-C	FEMALE
Bengali (India)	Standard	bn-IN	bn-IN-Standard-D	MALE
Bengali (India)	Premium	bn-IN	bn-IN-Wavenet-A	FEMALE
Bengali (India)	Premium	bn-IN	bn-IN-Wavenet-B	MALE
Bengali (India)	Premium	bn-IN	bn-IN-Wavenet-C	FEMALE
Bengali (India)	Premium	bn-IN	bn-IN-Wavenet-D	MALE
Bulgarian (Bulgaria)	Standard	bg-BG	bg-BG-Standard-A	FEMALE
Bulgarian (Bulgaria)	Standard	bg-BG	bg-BG-Standard-B	FEMALE
Catalan (Spain)	Standard	ca-ES	ca-ES-Standard-A	FEMALE
Catalan (Spain)	Standard	ca-ES	ca-ES-Standard-B	FEMALE
Chinese (Hong Kong)	Standard	yue-HK	yue-HK-Standard-A	FEMALE
Chinese (Hong Kong)	Standard	yue-HK	yue-HK-Standard-B	MALE
